fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.49,0.378,0.262,10.25,0.119,51,175,0.99517,3.77,1.07,13.48,10
15.41,0.913,0.247,12.05,0.163,71,172,0.99241,2.91,0.96,13.22,1
12.78,1.409,0.906,4.13,0.154,48,193,0.99845,3.56,1.97,12.23,8
11.18,1.198,0.25,9.56,0.039,19,174,1.00416,3.9,0.96,12.8,8
5.87,1.31,0.272,8.79,0.038,6,294,0.99006,3.05,0.44,8.13,2
5.87,1.088,0.759,12.58,0.061,27,234,0.99357,3.6,0.45,10.18,7
4.7,1.138,0.45,13.64,0.079,53,102,1.00408,2.89,1.3,12.46,10
14.39,1.374,0.777,0.68,0.088,48,21,0.99257,3.52,1.32,8.07,3
11.21,0.475,0.065,10.27,0.139,7,284,0.9917,3.0,1.01,8.23,2
12.5,0.834,0.488,1.25,0.021,59,140,0.99855,3.68,1.03,13.96,0
4.25,0.432,0.034,8.46,0.017,69,31,1.00293,3.16,0.39,12.79,4
15.64,1.582,0.063,4.67,0.084,11,17,0.99716,3.36,1.18,9.86,10
13.99,1.516,0.906,4.95,0.142,15,77,1.00492,3.52,1.16,12.82,3
6.55,0.159,0.139,5.62,0.047,64,138,1.00019,3.01,0.55,13.55,0
6.18,1.158,0.532,9.51,0.132,3,111,0.99111,3.69,0.48,10.15,9
6.2,1.488,0.411,5.34,0.059,69,225,1.00489,3.16,0.51,8.25,7
7.65,0.371,0.347,11.12,0.178,23,182,0.99612,3.59,0.47,14.53,7
10.3,0.952,0.9,6.37,0.18,53,287,0.99431,2.99,1.34,10.42,7
9.18,1.473,0.022,1.49,0.066,37,138,0.99837,3.63,0.63,8.75,2
7.49,0.151,0.664,11.86,0.054,9,27,0.99456,2.95,0.73,11.44,5
11.34,1.146,0.963,4.64,0.088,15,274,0.9913,3.31,0.6,13.38,6
5.67,0.546,0.56,6.78,0.056,3,166,0.99002,3.1,1.93,9.55,8
7.51,1.487,0.937,10.44,0.138,70,112,0.99674,3.7,1.75,9.89,4
8.4,1.557,0.052,5.32,0.167,17,284,1.00255,3.11,0.69,9.7,8
9.47,1.516,0.419,1.32,0.138,26,240,0.99858,3.86,0.86,14.94,5
