gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Female,Group D,high school,free/reduced,completed,19,69,53
Female,Group B,master's degree,free/reduced,completed,80,48,54
Female,Group C,high school,free/reduced,none,10,54,47
Male,Group B,some college,free/reduced,completed,15,76,72
Female,Group D,high school,standard,completed,100,30,71
Female,Group E,associate's degree,standard,none,41,80,100
Female,Group A,high school,standard,completed,95,20,14
Female,Group D,bachelor's degree,free/reduced,completed,89,15,70
Male,Group C,bachelor's degree,free/reduced,none,51,16,87
Female,Group E,bachelor's degree,free/reduced,none,36,95,15
Male,Group B,bachelor's degree,free/reduced,completed,51,0,87
Male,Group E,associate's degree,standard,completed,8,71,42
Female,Group E,associate's degree,free/reduced,none,34,64,6
Male,Group C,associate's degree,standard,none,66,65,42
Female,Group A,high school,standard,completed,94,36,27
Male,Group E,bachelor's degree,standard,completed,6,23,65
Female,Group E,master's degree,free/reduced,completed,1,90,97
Male,Group A,master's degree,free/reduced,completed,24,83,59
Male,Group A,bachelor's degree,standard,none,75,61,2
Female,Group B,some college,standard,none,93,20,0
Male,Group B,high school,free/reduced,none,93,36,30
Female,Group A,master's degree,free/reduced,none,92,34,55
Female,Group D,associate's degree,free/reduced,completed,40,37,86
Male,Group A,some college,free/reduced,none,74,52,83
Female,Group B,associate's degree,standard,completed,51,14,79
Female,Group C,some college,standard,completed,86,41,45
Female,Group C,some college,standard,none,80,93,31
Female,Group E,high school,standard,none,76,3,80
Male,Group C,associate's degree,standard,completed,96,38,17
Male,Group B,associate's degree,standard,none,64,78,67
Male,Group C,master's degree,free/reduced,completed,76,22,34
Female,Group D,bachelor's degree,standard,completed,37,14,99
Male,Group A,bachelor's degree,free/reduced,none,66,89,22
Male,Group A,master's degree,free/reduced,completed,79,11,78
Male,Group B,some college,standard,none,41,81,12
Female,Group E,master's degree,free/reduced,none,70,69,77
Male,Group A,master's degree,standard,none,53,81,13
Female,Group C,associate's degree,standard,completed,66,53,36
Male,Group D,master's degree,free/reduced,none,77,87,4
Male,Group E,some college,free/reduced,completed,63,37,21
Female,Group E,bachelor's degree,free/reduced,none,79,27,27
Male,Group E,high school,free/reduced,completed,3,78,3
Female,Group A,master's degree,free/reduced,completed,30,18,49
Female,Group E,master's degree,free/reduced,completed,12,68,28
Male,Group B,associate's degree,free/reduced,completed,26,63,36
Female,Group C,associate's degree,free/reduced,completed,58,3,34
Female,Group D,master's degree,free/reduced,none,64,80,19
Female,Group C,master's degree,standard,completed,63,9,34
Female,Group B,some college,standard,none,24,11,98
Male,Group B,bachelor's degree,free/reduced,none,36,68,83
Female,Group C,bachelor's degree,free/reduced,none,74,6,1
Female,Group A,high school,free/reduced,none,72,43,57
Male,Group B,bachelor's degree,standard,completed,70,22,17
Male,Group E,high school,standard,none,13,1,93
Male,Group D,associate's degree,free/reduced,none,93,93,55
Female,Group D,high school,free/reduced,none,23,36,63
Female,Group B,high school,free/reduced,none,66,68,92
Female,Group E,bachelor's degree,free/reduced,none,47,19,51
Female,Group C,master's degree,standard,none,90,89,21
Male,Group D,associate's degree,standard,completed,64,43,92
Male,Group E,some college,free/reduced,completed,37,69,59
Female,Group E,high school,free/reduced,completed,89,92,9
Female,Group A,high school,standard,none,69,73,83
Female,Group B,high school,standard,none,58,50,79
Female,Group E,master's degree,free/reduced,none,11,79,5
Male,Group C,some college,free/reduced,completed,53,97,80
Male,Group D,bachelor's degree,standard,none,50,30,5
Male,Group A,associate's degree,standard,none,37,99,85
Male,Group C,master's degree,standard,completed,45,40,81
Female,Group D,some college,free/reduced,none,98,57,95
Male,Group B,associate's degree,standard,completed,9,4,27
Female,Group C,bachelor's degree,free/reduced,none,8,32,41
Male,Group D,associate's degree,standard,none,86,42,73
Male,Group A,high school,standard,none,93,18,40
Female,Group D,high school,standard,completed,51,31,62
Male,Group E,master's degree,free/reduced,none,50,86,21
Male,Group A,associate's degree,free/reduced,completed,21,2,91
Male,Group C,high school,standard,none,72,0,78
Male,Group B,master's degree,free/reduced,completed,82,99,28
Female,Group A,master's degree,standard,none,71,40,70
Male,Group A,master's degree,free/reduced,completed,67,91,33
Male,Group A,bachelor's degree,standard,completed,4,47,95
Male,Group D,high school,standard,none,82,38,1
Female,Group E,high school,free/reduced,completed,81,4,25
Female,Group B,some college,standard,completed,28,76,74
Male,Group B,bachelor's degree,free/reduced,completed,82,10,88
Male,Group E,high school,standard,none,5,21,18
Male,Group D,high school,free/reduced,completed,68,86,19
Female,Group D,some college,standard,none,57,63,32
Male,Group E,associate's degree,standard,completed,42,11,80
Male,Group E,associate's degree,free/reduced,completed,68,52,93
Female,Group C,bachelor's degree,standard,completed,71,54,81
Female,Group D,master's degree,free/reduced,completed,90,52,95
Female,Group A,some college,standard,none,36,20,3
Male,Group B,some college,standard,none,57,18,31
Male,Group D,high school,standard,completed,36,68,18
Male,Group E,high school,standard,none,81,87,2
Female,Group A,some college,free/reduced,none,25,93,91
Male,Group C,master's degree,free/reduced,completed,41,71,60
Male,Group C,associate's degree,free/reduced,completed,15,65,37
Female,Group A,bachelor's degree,standard,completed,21,58,5
Female,Group A,associate's degree,free/reduced,completed,22,48,55
Male,Group E,bachelor's degree,free/reduced,completed,46,97,39
Female,Group E,master's degree,standard,completed,66,58,80
Male,Group B,some college,free/reduced,none,2,22,68
Male,Group B,master's degree,standard,completed,11,2,82
Male,Group C,some college,standard,completed,22,55,41
Female,Group A,high school,free/reduced,completed,10,57,98
Male,Group C,bachelor's degree,free/reduced,none,51,87,85
Female,Group E,high school,free/reduced,completed,49,61,87
Female,Group D,some college,free/reduced,none,56,17,73
Female,Group E,bachelor's degree,standard,none,63,60,1
Female,Group D,bachelor's degree,free/reduced,none,45,36,27
Male,Group A,high school,standard,completed,28,53,100
Female,Group A,bachelor's degree,free/reduced,none,69,94,16
Male,Group A,some college,standard,completed,45,77,69
Male,Group B,some college,free/reduced,completed,15,64,68
Male,Group B,high school,free/reduced,completed,97,13,38
Male,Group D,master's degree,standard,completed,50,4,6
Female,Group C,some college,free/reduced,none,100,94,31
Female,Group C,some college,free/reduced,completed,10,94,3
Male,Group D,bachelor's degree,free/reduced,none,10,93,20
Male,Group B,bachelor's degree,free/reduced,none,62,99,31
Male,Group E,some college,standard,completed,52,61,81
Female,Group D,high school,standard,completed,88,0,96
Female,Group C,master's degree,free/reduced,none,57,62,13
Male,Group D,bachelor's degree,standard,none,18,66,69
Male,Group D,bachelor's degree,free/reduced,completed,31,19,74
Male,Group A,master's degree,standard,completed,49,42,45
Female,Group B,bachelor's degree,standard,completed,71,84,19
Male,Group A,high school,standard,none,54,93,92
Female,Group B,bachelor's degree,free/reduced,completed,75,41,57
Female,Group D,bachelor's degree,standard,completed,40,93,98
Female,Group B,some college,standard,completed,98,68,79
Male,Group C,high school,free/reduced,completed,69,73,47
Female,Group A,high school,standard,none,20,87,6
Female,Group D,some college,free/reduced,none,25,38,39
Male,Group C,associate's degree,standard,completed,0,61,58
Male,Group B,master's degree,free/reduced,none,80,47,35
Male,Group B,high school,standard,completed,98,5,43
Female,Group C,associate's degree,free/reduced,none,26,73,30
Female,Group B,master's degree,standard,none,49,41,41
Male,Group A,high school,standard,completed,65,57,43
Female,Group E,bachelor's degree,free/reduced,completed,99,42,42
Male,Group B,high school,standard,completed,64,9,42
Male,Group D,master's degree,standard,completed,9,88,46
Female,Group B,associate's degree,free/reduced,none,94,77,5
Female,Group D,bachelor's degree,free/reduced,completed,36,38,92
Female,Group B,master's degree,standard,completed,68,12,90
Female,Group B,master's degree,free/reduced,completed,40,74,65
Male,Group D,high school,standard,completed,45,38,85
Male,Group A,some college,free/reduced,completed,76,10,8
Female,Group E,some college,free/reduced,completed,44,15,10
Female,Group E,bachelor's degree,free/reduced,none,87,32,79
Female,Group A,master's degree,free/reduced,completed,26,59,76
Male,Group B,associate's degree,standard,none,64,95,17
Male,Group E,bachelor's degree,free/reduced,completed,83,58,24
Female,Group A,bachelor's degree,standard,none,7,73,96
Male,Group A,high school,standard,none,66,50,73
Male,Group E,associate's degree,standard,none,48,14,57
Male,Group D,master's degree,standard,completed,95,79,29
Male,Group C,master's degree,standard,none,88,42,0
Female,Group D,master's degree,free/reduced,completed,88,26,62
Female,Group B,bachelor's degree,free/reduced,none,13,55,96
Female,Group D,high school,standard,completed,61,59,78
Female,Group C,bachelor's degree,standard,completed,42,95,28
Male,Group C,some college,free/reduced,none,26,69,65
Female,Group A,some college,standard,completed,95,46,74
Female,Group B,master's degree,free/reduced,none,26,99,52
Female,Group A,high school,standard,none,67,7,97
Female,Group D,master's degree,free/reduced,completed,74,62,18
Female,Group D,master's degree,free/reduced,none,47,88,65
Male,Group E,bachelor's degree,standard,completed,66,6,83
Female,Group A,master's degree,free/reduced,none,24,80,51
Male,Group A,master's degree,standard,completed,63,93,30
Male,Group A,high school,free/reduced,completed,23,1,59
Male,Group A,high school,free/reduced,completed,8,16,67
Male,Group C,high school,standard,none,7,3,92
Male,Group E,master's degree,free/reduced,completed,94,25,29
Male,Group B,high school,free/reduced,completed,58,77,12
Female,Group B,high school,standard,completed,16,71,14
Male,Group B,associate's degree,free/reduced,completed,42,68,19
Female,Group C,associate's degree,standard,completed,94,4,33
Male,Group E,some college,standard,completed,67,4,91
Male,Group E,bachelor's degree,free/reduced,completed,3,90,19
Male,Group C,bachelor's degree,standard,completed,100,68,49
Female,Group A,high school,free/reduced,completed,7,2,88
Male,Group D,some college,free/reduced,none,41,37,26
Male,Group A,some college,standard,completed,48,93,29
Female,Group B,associate's degree,free/reduced,completed,5,0,55
Male,Group A,some college,free/reduced,completed,72,7,83
Male,Group C,master's degree,free/reduced,none,41,12,64
Male,Group B,high school,standard,completed,71,83,98
Female,Group D,master's degree,standard,completed,31,69,54
Male,Group B,bachelor's degree,free/reduced,none,14,49,23
Male,Group A,associate's degree,standard,none,81,7,24
Female,Group E,master's degree,free/reduced,none,86,29,52
Female,Group E,high school,free/reduced,completed,68,39,75
Male,Group E,master's degree,standard,completed,26,78,10
Male,Group B,master's degree,standard,completed,96,73,93
Male,Group E,some college,standard,completed,65,32,59
Male,Group C,associate's degree,free/reduced,none,58,72,76
Female,Group D,bachelor's degree,standard,none,27,51,46
Female,Group E,high school,free/reduced,completed,23,32,24
Female,Group C,high school,free/reduced,none,50,72,24
Male,Group C,bachelor's degree,free/reduced,completed,20,77,16
Female,Group B,high school,standard,completed,30,95,11
Female,Group B,some college,standard,completed,74,36,51
Male,Group D,master's degree,standard,completed,49,69,10
Male,Group D,some college,free/reduced,none,91,68,9
Male,Group A,some college,free/reduced,none,39,3,80
Male,Group D,some college,standard,completed,67,59,59
Male,Group B,bachelor's degree,standard,completed,15,79,53
Male,Group C,associate's degree,standard,none,75,73,79
Female,Group A,bachelor's degree,standard,none,85,30,62
Male,Group D,bachelor's degree,standard,completed,98,94,19
Male,Group C,some college,standard,none,62,13,4
Female,Group B,associate's degree,standard,none,55,76,40
Female,Group E,bachelor's degree,standard,none,79,59,62
Female,Group A,associate's degree,standard,completed,23,67,55
Female,Group C,some college,free/reduced,none,98,25,31
Female,Group B,bachelor's degree,standard,none,27,23,26
Male,Group B,associate's degree,standard,none,92,55,67
Male,Group A,high school,free/reduced,none,84,8,47
Female,Group A,bachelor's degree,free/reduced,none,88,34,6
Female,Group D,bachelor's degree,free/reduced,completed,30,78,45
Female,Group D,bachelor's degree,free/reduced,none,14,23,77
Female,Group A,associate's degree,free/reduced,none,41,30,87
Male,Group A,master's degree,free/reduced,none,98,82,17
Female,Group C,bachelor's degree,free/reduced,none,49,65,37
Female,Group D,high school,standard,completed,85,65,64
Male,Group B,high school,standard,completed,4,40,16
Male,Group D,some college,standard,completed,47,35,89
Male,Group D,master's degree,free/reduced,none,12,100,85
Female,Group A,master's degree,standard,none,31,33,81
Female,Group A,associate's degree,free/reduced,completed,66,38,37
Male,Group D,some college,standard,completed,78,82,91
Female,Group E,associate's degree,free/reduced,completed,90,22,84
Female,Group E,some college,standard,completed,90,79,62
Male,Group D,master's degree,standard,completed,29,43,96
Male,Group E,associate's degree,standard,completed,5,69,93
Male,Group D,some college,standard,none,24,57,41
Female,Group A,master's degree,standard,none,27,58,7
