Region,Date,Temp,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
0,12/06/2012,23,86,8,16.6,31.7,3.8,18.8,1.5,4.5,1.8,Not Fire
0,03/06/2012,24,82,11,13.8,38.3,11.6,38.4,3.2,11.8,4.7,Not Fire
1,16/08/2012,36,48,22,6.1,69.1,42.7,146.5,12.6,44.2,20.2,Fire
1,14/09/2012,41,24,28,0.6,90.4,63.1,211.0,18.2,65.9,29.9,Fire
1,07/09/2012,37,33,24,2.7,81.9,52.9,179.5,15.1,55.9,25.4,Not Fire
1,27/08/2012,38,39,23,4.3,74.1,48.1,161.7,13.7,49.8,22.5,Fire
1,04/09/2012,39,35,26,3.5,80.5,53.5,180.3,14.8,55.8,25.1,Fire
1,01/08/2012,33,52,18,7.9,64.8,36.7,127.3,10.6,38.7,17.3,Fire
0,05/06/2012,24,84,7,14.9,35.1,6.3,24.5,1.6,6.9,2.5,Fire
0,21/07/2012,30,62,14,10.2,53.3,25.7,89.9,6.9,27.8,11.8,Fire
0,23/06/2012,24,79,9,14.4,35.9,10.3,31.5,2.0,10.1,4.0,Not Fire
1,25/09/2012,40,25,28,2.4,88.1,59.4,199.9,17.4,61.5,28.2,Not Fire
0,29/07/2012,31,66,14,10.3,53.2,26.9,90.5,7.5,27.5,12.1,Fire
1,28/08/2012,40,32,27,1.9,82.0,56.7,187.7,15.9,58.0,26.3,Not Fire
0,11/07/2012,32,59,17,9.4,57.6,30.0,101.4,8.9,32.1,14.2,Not Fire
1,12/08/2012,31,54,18,8.7,60.7,33.4,115.6,8.7,35.1,15.5,Not Fire
1,08/09/2012,38,32,24,1.6,83.3,57.1,187.0,15.8,57.3,26.6,Not Fire
0,08/06/2012,23,90,6,15.5,30.7,1.9,11.5,0.2,2.7,0.6,Not Fire
0,03/07/2012,27,72,12,12.9,44.5,18.4,62.6,5.2,19.9,8.4,Not Fire
1,10/08/2012,31,56,16,9.2,57.8,30.7,103.3,8.8,31.6,14.2,Not Fire
0,17/06/2012,23,87,7,15.7,32.1,5.1,17.7,1.2,5.3,1.5,Not Fire
0,10/06/2012,22,89,6,16.7,29.6,1.1,8.2,0.0,1.3,0.0,Not Fire
0,25/07/2012,31,58,17,9.6,57.2,29.0,100.4,8.1,33.2,13.9,Not Fire
0,15/06/2012,23,85,10,16.0,33.6,6.9,24.5,1.1,7.3,2.4,Not Fire
1,01/09/2012,37,32,24,2.6,79.1,53.5,178.3,14.4,55.1,25.1,Not Fire
0,30/07/2012,34,49,18,7.5,64.3,37.5,125.7,10.3,39.0,17.3,Fire
0,05/06/2012,22,88,6,16.8,28.6,1.1,8.9,0.3,2.6,0.1,Fire
0,07/07/2012,30,64,16,10.3,56.3,28.4,97.7,7.9,29.5,13.2,Not Fire
1,19/08/2012,36,41,23,5.4,74.9,46.5,159.5,13.0,48.6,22.0,Fire
1,17/08/2012,37,35,25,4.3,78.8,52.4,177.8,14.5,54.6,24.6,Fire
0,26/07/2012,31,59,17,8.8,58.2,30.3,106.2,8.7,32.7,14.6,Fire
1,17/09/2012,39,29,26,1.6,83.7,56.2,186.4,16.3,59.3,26.7,Not Fire
0,13/06/2012,24,81,9,15.4,35.0,9.1,30.4,2.4,8.1,3.5,Not Fire
0,30/06/2012,26,76,11,12.7,42.0,14.4,51.7,3.6,15.8,6.5,Not Fire
0,09/06/2012,22,89,6,16.3,29.0,2.2,7.0,0.3,1.1,0.1,Not Fire
0,30/07/2012,33,50,18,7.5,63.8,36.8,126.5,10.7,38.2,17.1,Not Fire
0,19/07/2012,31,61,15,9.1,55.3,27.9,94.3,7.8,28.6,13.1,Fire
1,07/09/2012,38,34,25,2.9,81.4,54.4,183.3,14.6,55.6,25.6,Not Fire
1,09/08/2012,31,57,16,9.0,59.0,31.3,106.8,8.9,33.2,14.8,Not Fire
1,29/09/2012,41,21,28,0.4,90.7,64.6,216.6,17.6,67.5,30.5,Fire
0,08/07/2012,29,64,14,10.7,52.5,23.6,88.0,7.4,25.8,11.7,Fire
1,03/08/2012,32,57,17,8.7,59.7,30.3,109.4,8.7,34.4,14.9,Fire
0,27/07/2012,35,43,22,5.6,71.8,44.7,148.4,12.0,46.1,20.6,Not Fire
0,08/06/2012,22,89,6,16.7,29.6,1.5,7.0,0.0,1.8,-0.0,Fire
1,06/09/2012,37,37,24,4.5,75.7,49.6,163.9,13.6,49.1,22.9,Fire
0,04/07/2012,30,65,14,10.8,51.7,23.1,81.0,6.1,24.1,11.1,Fire
1,23/08/2012,34,44,22,5.4,71.5,44.2,149.5,13.4,45.5,20.9,Not Fire
0,19/06/2012,24,84,8,16.8,31.4,3.9,19.2,1.2,3.5,1.5,Not Fire
1,06/09/2012,39,33,25,2.9,82.4,55.8,185.4,15.1,56.1,26.0,Not Fire
1,22/09/2012,38,29,27,2.0,85.6,58.7,195.4,16.2,58.8,27.4,Not Fire
1,12/09/2012,39,29,26,1.2,85.8,59.0,197.3,16.2,62.5,27.9,Fire
0,18/07/2012,30,61,15,9.8,54.7,28.2,93.7,7.6,29.2,13.1,Not Fire
1,23/08/2012,38,32,25,2.8,83.1,55.0,188.1,15.4,58.1,26.0,Not Fire
0,12/07/2012,28,71,13,12.5,46.9,19.8,66.7,5.4,18.5,8.8,Not Fire
0,28/06/2012,29,71,13,10.9,47.9,21.7,68.8,5.2,22.4,9.4,Fire
0,13/07/2012,31,62,16,10.2,55.9,28.7,98.5,7.9,30.6,13.3,Not Fire
1,25/08/2012,37,41,22,5.8,74.6,46.0,158.2,13.0,47.1,21.8,Not Fire
1,29/09/2012,41,21,29,0.0,92.4,65.9,217.7,18.5,67.7,31.1,Fire
1,15/08/2012,32,50,20,7.2,64.3,38.3,128.7,10.1,39.9,17.8,Not Fire
1,24/09/2012,41,23,29,0.2,91.5,65.0,213.7,18.5,65.8,30.1,Not Fire
1,17/08/2012,35,48,19,7.3,65.6,39.4,128.3,11.0,40.4,17.9,Fire
0,28/07/2012,31,58,19,8.4,60.2,32.8,112.2,9.1,35.8,15.5,Not Fire
1,30/08/2012,37,45,23,6.6,72.1,45.2,151.3,12.7,45.3,21.1,Fire
1,21/09/2012,42,22,29,0.0,92.1,65.7,220.2,18.5,68.0,31.0,Fire
0,04/07/2012,29,68,14,11.5,47.7,21.3,72.0,5.7,22.3,9.5,Fire
0,22/07/2012,30,62,17,9.7,55.2,27.1,98.0,7.5,29.7,13.0,Fire
0,05/07/2012,27,73,11,13.3,42.2,16.1,56.5,4.4,17.6,7.2,Not Fire
0,26/07/2012,30,59,17,9.3,58.4,30.5,102.5,8.4,31.4,14.0,Not Fire
1,11/09/2012,40,30,27,2.3,86.6,58.6,194.0,17.0,60.1,27.6,Fire
1,22/08/2012,37,39,22,5.5,74.3,47.8,160.1,12.8,47.7,22.1,Not Fire
1,16/08/2012,35,44,22,5.9,71.5,43.4,148.4,11.8,45.9,20.5,Fire
1,16/09/2012,40,31,25,2.6,81.3,54.9,186.6,15.2,55.5,25.7,Not Fire
0,10/07/2012,27,77,9,13.7,39.4,11.6,41.3,2.7,11.3,5.1,Fire
0,15/06/2012,24,82,8,15.4,33.8,7.4,25.9,1.2,8.6,3.0,Fire
1,25/09/2012,42,21,28,0.0,92.5,65.9,220.4,17.9,68.0,31.0,Fire
1,22/09/2012,37,33,26,2.8,83.1,55.8,185.7,15.7,57.8,26.3,Fire
1,29/08/2012,38,31,24,3.2,78.5,51.7,175.0,14.9,53.7,24.6,Not Fire
0,03/06/2012,22,89,7,16.8,28.6,1.5,8.7,1.3,1.1,0.1,Not Fire
0,28/06/2012,25,75,10,14.3,40.4,12.4,41.5,3.3,10.9,5.1,Fire
1,02/08/2012,35,41,22,3.8,71.8,45.8,154.6,13.2,47.9,21.4,Not Fire
1,13/08/2012,34,46,23,6.7,69.9,43.8,148.0,12.2,42.9,20.2,Fire
0,27/07/2012,31,60,17,9.1,57.7,30.1,103.5,7.4,31.2,14.1,Not Fire
0,03/07/2012,29,64,15,10.3,51.8,24.8,87.5,6.2,26.6,11.7,Not Fire
1,05/08/2012,32,57,16,8.8,58.2,31.2,104.6,8.3,32.3,14.2,Not Fire
1,12/09/2012,41,28,26,1.0,85.0,58.7,196.7,16.7,60.6,27.7,Not Fire
1,20/08/2012,36,40,25,4.3,78.4,50.0,167.4,14.3,50.5,23.6,Not Fire
0,16/06/2012,28,72,12,12.5,46.7,20.2,68.4,5.4,19.1,8.7,Fire
0,06/06/2012,24,87,8,15.5,32.9,5.5,22.4,1.5,5.4,2.1,Fire
0,18/06/2012,23,88,8,16.1,30.8,4.5,18.6,1.1,4.8,1.5,Not Fire
0,14/06/2012,24,86,7,16.0,33.0,5.1,19.8,0.9,5.1,2.1,Not Fire
0,21/06/2012,25,80,10,13.9,39.4,12.1,37.9,3.2,11.7,5.2,Not Fire
1,28/09/2012,42,22,28,0.6,92.5,65.9,220.4,18.5,67.7,31.1,Fire
1,02/08/2012,31,63,16,10.5,55.1,28.9,99.8,8.1,30.9,13.6,Fire
0,17/07/2012,29,65,15,11.0,51.7,23.7,83.0,7.0,26.1,11.0,Not Fire
1,21/08/2012,37,38,23,4.0,77.1,49.9,167.0,13.8,50.6,23.4,Not Fire
0,26/06/2012,25,77,11,13.9,40.4,12.6,47.2,3.2,12.0,5.5,Fire
0,18/07/2012,27,75,12,12.4,45.3,18.7,63.2,5.1,20.2,8.5,Not Fire
1,09/08/2012,33,49,19,8.0,66.6,39.3,135.3,11.2,41.3,18.5,Fire
1,05/09/2012,37,33,24,3.5,80.1,53.1,182.1,14.4,54.0,25.3,Not Fire
0,08/07/2012,28,70,14,11.7,49.6,21.8,75.4,6.0,21.9,9.9,Fire
0,21/06/2012,24,76,11,13.5,40.3,12.6,47.4,3.7,12.5,5.8,Fire
0,24/07/2012,32,58,17,9.2,57.6,31.4,103.0,8.9,33.8,14.5,Not Fire
1,20/09/2012,38,35,25,4.2,78.2,52.3,176.0,15.4,52.8,24.5,Fire
0,09/07/2012,28,64,13,11.0,49.7,23.4,76.6,6.4,22.2,10.2,Not Fire
1,11/08/2012,35,47,20,7.0,68.5,41.0,136.1,11.6,42.7,19.1,Fire
0,13/06/2012,23,88,6,16.6,29.6,1.7,11.4,-0.0,2.7,0.4,Fire
1,26/09/2012,42,22,29,0.0,91.4,65.9,219.9,18.4,67.2,31.0,Not Fire
1,15/09/2012,40,27,27,0.7,87.6,62.2,206.3,16.8,62.3,28.9,Not Fire
1,31/08/2012,38,32,24,3.3,79.6,53.0,176.0,14.4,54.3,24.7,Fire
1,05/09/2012,35,40,21,5.6,74.3,46.9,154.7,13.4,48.4,21.6,Fire
0,01/06/2012,22,90,7,15.9,30.4,3.3,15.3,0.4,4.1,1.3,Fire
0,01/06/2012,23,86,8,15.0,32.8,6.0,21.5,0.9,4.6,1.8,Fire
0,09/07/2012,28,69,12,12.0,47.1,21.1,67.3,5.2,20.7,9.0,Fire
0,23/06/2012,25,79,9,14.2,38.3,10.3,40.3,2.8,12.9,4.7,Fire
0,20/07/2012,28,71,12,11.0,47.7,20.9,68.3,5.3,21.4,9.2,Fire
1,08/08/2012,32,52,20,8.0,63.2,36.8,120.3,10.5,36.8,16.8,Fire
1,13/08/2012,32,53,18,7.8,59.9,32.5,112.5,9.6,34.1,15.5,Not Fire
1,27/08/2012,38,35,25,2.5,79.0,51.4,173.9,15.0,53.3,24.5,Not Fire
0,15/07/2012,30,62,17,9.8,52.7,25.5,89.3,6.8,27.0,11.8,Not Fire
0,13/07/2012,29,68,14,10.2,47.8,21.9,74.1,5.5,21.3,9.7,Fire
1,24/08/2012,35,47,20,5.7,69.0,41.6,138.6,11.6,42.7,19.6,Fire
1,20/08/2012,37,41,24,4.0,74.7,48.8,161.2,13.0,49.8,22.6,Fire
0,19/07/2012,30,61,14,10.5,54.0,25.8,93.6,7.8,27.4,12.5,Fire
0,18/06/2012,25,77,9,15.1,40.1,12.2,40.8,2.8,10.6,5.1,Fire
1,11/08/2012,36,51,21,7.2,66.6,41.2,138.4,11.1,40.9,18.8,Not Fire
0,01/07/2012,27,73,10,12.1,43.6,17.1,58.2,4.0,16.6,7.4,Not Fire
0,11/06/2012,25,84,7,14.9,34.4,6.5,27.1,1.8,9.2,3.0,Fire
0,29/07/2012,33,49,19,7.5,65.2,37.9,128.5,11.1,40.2,18.0,Not Fire
1,18/08/2012,33,48,19,7.4,63.7,37.6,127.0,10.0,39.2,17.3,Fire
1,07/08/2012,31,58,18,8.9,60.0,33.2,113.3,9.0,33.1,15.5,Not Fire
0,06/06/2012,22,87,6,16.8,28.6,2.0,8.1,0.4,1.9,0.2,Not Fire
1,27/09/2012,39,26,27,1.1,88.6,61.5,205.3,16.5,63.3,28.8,Fire
0,14/06/2012,24,81,10,14.1,37.2,11.8,34.7,2.8,10.4,4.4,Not Fire
1,14/08/2012,36,44,20,6.2,69.2,42.3,143.4,11.4,43.4,19.9,Fire
0,02/06/2012,23,90,6,16.8,28.6,1.1,7.0,0.0,2.5,-0.0,Fire
1,31/07/2012,34,49,21,6.9,68.1,41.0,139.1,11.1,41.7,19.1,Fire
0,16/06/2012,25,78,10,15.1,35.7,10.8,34.7,2.8,8.3,4.0,Fire
1,10/08/2012,36,44,21,5.3,72.7,44.9,153.8,12.2,47.0,21.3,Fire
1,26/08/2012,37,38,23,4.0,75.9,49.3,167.2,13.9,51.5,23.0,Fire
1,08/08/2012,33,45,20,6.2,68.2,41.7,144.0,11.8,44.2,19.7,Fire
0,01/07/2012,26,79,9,14.1,39.7,13.0,42.6,3.4,10.2,5.2,Fire
1,07/08/2012,35,45,22,5.5,70.5,44.7,152.2,12.5,46.5,21.1,Not Fire
1,03/08/2012,34,53,18,8.4,61.9,36.0,119.4,9.9,36.9,16.7,Fire
1,18/09/2012,42,21,28,-0.0,92.5,65.2,220.4,18.4,68.0,31.0,Not Fire
