Region,Temp,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
0,23,86,8,16.6,31.7,3.8,18.8,1.5,4.5,1.8,0
0,24,82,11,13.8,38.3,11.6,38.4,3.2,11.8,4.7,0
1,36,48,22,6.1,69.1,42.7,146.5,12.6,44.2,20.2,1
1,41,24,28,0.6,90.4,63.1,211.0,18.2,65.9,29.9,1
1,37,33,24,2.7,81.9,52.9,179.5,15.1,55.9,25.4,0
1,38,39,23,4.3,74.1,48.1,161.7,13.7,49.8,22.5,1
1,39,35,26,3.5,80.5,53.5,180.3,14.8,55.8,25.1,1
1,33,52,18,7.9,64.8,36.7,127.3,10.6,38.7,17.3,1
0,24,84,7,14.9,35.1,6.3,24.5,1.6,6.9,2.5,1
0,30,62,14,10.2,53.3,25.7,89.9,6.9,27.8,11.8,1
0,24,79,9,14.4,35.9,10.3,31.5,2.0,10.1,4.0,0
1,40,25,28,2.4,88.1,59.4,199.9,17.4,61.5,28.2,0
0,31,66,14,10.3,53.2,26.9,90.5,7.5,27.5,12.1,1
1,40,32,27,1.9,82.0,56.7,187.7,15.9,58.0,26.3,0
0,32,59,17,9.4,57.6,30.0,101.4,8.9,32.1,14.2,0
1,31,54,18,8.7,60.7,33.4,115.6,8.7,35.1,15.5,0
1,38,32,24,1.6,83.3,57.1,187.0,15.8,57.3,26.6,0
0,23,90,6,15.5,30.7,1.9,11.5,0.2,2.7,0.6,0
0,27,72,12,12.9,44.5,18.4,62.6,5.2,19.9,8.4,0
1,31,56,16,9.2,57.8,30.7,103.3,8.8,31.6,14.2,0
0,23,87,7,15.7,32.1,5.1,17.7,1.2,5.3,1.5,0
0,22,89,6,16.7,29.6,1.1,8.2,0.0,1.3,0.0,0
0,31,58,17,9.6,57.2,29.0,100.4,8.1,33.2,13.9,0
0,23,85,10,16.0,33.6,6.9,24.5,1.1,7.3,2.4,0
1,37,32,24,2.6,79.1,53.5,178.3,14.4,55.1,25.1,0
0,34,49,18,7.5,64.3,37.5,125.7,10.3,39.0,17.3,1
0,22,88,6,16.8,28.6,1.1,8.9,0.3,2.6,0.1,1
0,30,64,16,10.3,56.3,28.4,97.7,7.9,29.5,13.2,0
1,36,41,23,5.4,74.9,46.5,159.5,13.0,48.6,22.0,1
1,37,35,25,4.3,78.8,52.4,177.8,14.5,54.6,24.6,1
0,31,59,17,8.8,58.2,30.3,106.2,8.7,32.7,14.6,1
1,39,29,26,1.6,83.7,56.2,186.4,16.3,59.3,26.7,0
0,24,81,9,15.4,35.0,9.1,30.4,2.4,8.1,3.5,0
0,26,76,11,12.7,42.0,14.4,51.7,3.6,15.8,6.5,0
