Height,Weight
178,74.59
191,81.57
168,73.98
154,57.34
182,82.09
147,50.05
160,64.07
178,81.31
197,74.86
158,57.32
162,66.37
150,61.06
150,56.02
163,64.35
192,92.45
175,78.87
179,70.96
163,64.68
142,51.2
161,71.29
192,88.73
141,48.18
163,65.2
183,68.68
169,73.14
177,77.13
141,54.76
199,88.58
160,62.64
172,67.99
151,49.96
197,84.89
161,53.6
183,82.67
164,53.93
188,91.76
166,57.38
198,96.1
181,72.16
167,69.71
199,85.54
155,66.87
154,58.02
186,85.57
190,83.38
183,79.86
194,88.88
191,81.06
196,80.8
142,42.89
176,73.45
190,80.56
146,41.47
160,64.56
148,47.51
178,68.8
157,59.69
143,45.6
164,65.41
199,99.17
153,55.2
189,77.0
197,88.81
148,49.72
165,65.62
192,85.98
141,48.52
159,61.58
167,67.86
186,88.19
199,88.04
146,52.84
183,82.43
147,55.26
186,78.41
174,76.31
153,52.74
156,58.07
175,68.64
189,85.18
179,81.25
143,51.22
141,49.08
145,47.12
193,81.59
181,70.73
143,39.22
193,83.14
168,66.11
157,70.76
165,73.31
183,80.88
173,81.52
149,61.25
175,62.46
153,62.44
170,72.56
187,79.45
154,50.72
147,55.88
153,46.7
162,63.29
199,86.21
196,80.91
179,81.24
160,61.79
155,59.37
184,83.34
157,59.86
186,82.46
192,88.48
163,66.93
165,66.93
164,73.72
199,95.51
199,88.87
199,84.75
184,81.99
180,77.08
168,76.14
154,62.74
184,82.62
140,48.06
164,60.42
146,51.21
148,55.98
163,55.45
140,54.21
183,88.44
147,43.18
163,57.1
150,56.15
190,80.09
156,60.5
147,52.54
174,66.68
174,78.24
172,72.72
198,85.8
144,58.33
181,74.16
178,68.39
197,88.82
180,77.77
167,69.56
146,55.68
148,56.18
147,55.28
151,52.83
173,67.7
172,74.11
187,82.12
194,89.9
162,54.86
163,61.6
176,82.74
174,74.56
183,79.58
179,78.84
161,73.74
166,76.19
174,63.9
140,41.95
174,63.73
176,69.46
186,80.47
153,58.31
142,41.75
140,38.66
144,46.98
165,70.08
194,91.25
153,65.63
178,74.44
166,70.34
148,58.65
154,55.32
154,59.74
165,68.79
181,72.15
199,97.51
152,56.21
190,83.44
171,64.96
178,70.7
188,70.62
191,83.98
171,82.23
143,45.01
169,83.18
176,80.27
162,61.03
178,74.74
184,78.12
154,66.33
182,79.99
168,73.51
175,74.29
152,55.84
171,71.33
146,50.17
198,81.34
190,87.07
161,55.19
167,65.56
141,46.5
181,79.92
184,86.62
196,93.22
192,87.76
145,48.35
167,65.98
167,65.25
183,75.75
183,76.09
159,59.15
169,65.93
150,59.76
197,82.63
194,82.15
167,58.98
164,71.88
178,70.62
172,73.7
140,50.38
196,93.79
166,65.15
196,82.46
191,75.92
152,42.48
180,76.81
142,53.28
178,76.96
145,43.85
147,58.09
166,62.71
148,49.07
176,69.6
172,70.79
190,75.58
181,76.51
183,80.25
163,69.64
154,58.68
198,81.9
193,85.84
171,64.4
171,64.11
163,57.29
180,66.44
191,80.86
188,87.24
188,92.88
197,85.03
191,89.13
151,53.73
178,66.35
141,52.2
142,50.57
188,90.69
176,65.53
188,95.58
195,94.46
156,59.11
198,87.11
188,78.02
141,49.25
141,47.78
167,69.47
193,83.63
162,70.47
176,73.83
171,68.42
172,75.52
140,39.89
158,62.3
141,48.83
192,77.35
183,69.56
165,70.55
171,74.51
145,52.36
171,78.28
194,88.0
143,56.35
194,87.9
150,53.62
195,81.21
198,85.58
156,57.91
177,80.72
163,67.95
144,52.45
191,88.05
173,73.74
145,52.81
161,55.21
150,60.7
187,78.61
155,63.94
172,76.33
148,50.25
199,94.05
198,86.8
145,49.72
155,59.79
168,69.02
142,49.59
159,54.63
199,88.69
198,99.99
175,58.58
158,64.95
165,70.79
142,42.61
158,58.25
159,56.3
171,78.97
146,57.72
191,89.46
180,76.6
172,76.96
179,75.26
178,81.4
157,59.16
179,71.9
140,57.05
150,54.9
167,62.41
196,82.65
164,60.27
189,86.52
162,62.91
170,80.49
