CustomerID,Gender,Age,Annual_Income(k$),Spending_Score(1-100)
1,Male,49,123,51
2,Female,56,65,86
3,Male,66,68,57
4,Male,69,22,29
5,Male,49,41,78
6,Female,21,41,92
7,Male,47,112,69
8,Male,54,35,47
9,Male,40,44,94
10,Female,56,111,62
11,Male,62,42,69
12,Male,32,125,76
13,Male,60,78,16
14,Male,46,111,90
15,Female,53,83,90
16,Male,30,138,48
17,Female,49,75,85
18,Female,24,62,39
19,Female,68,33,100
20,Male,39,18,33
21,Female,45,49,94
22,Male,19,78,23
23,Female,59,63,10
24,Female,62,31,69
25,Female,70,58,100
26,Female,23,106,34
27,Female,45,44,52
28,Female,45,107,95
29,Female,61,60,10
30,Female,61,131,19
31,Male,37,20,58
32,Male,47,113,96
33,Female,28,138,1
34,Female,45,119,69
35,Female,42,51,4
36,Male,56,38,16
37,Female,50,107,24
38,Male,18,127,80
39,Male,44,60,2
40,Male,69,67,92
41,Male,30,109,32
42,Male,58,113,91
43,Female,20,74,84
44,Female,56,111,24
45,Female,23,130,12
46,Female,25,77,50
47,Female,44,139,35
48,Male,26,99,33
49,Female,54,46,33
50,Female,50,101,61
51,Male,68,47,51
52,Female,59,81,43
53,Male,61,32,12
54,Female,41,39,67
55,Male,32,120,65
56,Female,49,109,33
57,Female,49,68,40
58,Male,41,72,74
59,Male,58,81,43
60,Male,69,118,44
61,Male,66,60,29
62,Male,66,38,13
63,Male,69,128,12
64,Male,29,46,95
65,Male,56,61,46
66,Female,19,100,2
67,Female,20,37,35
68,Male,66,80,87
69,Female,54,41,81
70,Female,66,120,90
71,Female,34,16,8
72,Female,66,104,93
73,Male,19,31,26
74,Female,19,118,74
75,Male,45,47,90
76,Female,40,23,34
77,Female,54,57,7
78,Female,49,132,68
79,Male,50,62,58
80,Female,18,53,75
81,Male,36,107,29
82,Female,19,56,36
83,Male,70,133,89
84,Female,61,40,21
85,Male,43,113,36
86,Male,49,64,10
87,Female,23,39,73
88,Male,49,38,24
89,Female,21,27,64
90,Female,28,74,99
91,Female,34,136,49
92,Female,55,21,99
93,Female,41,71,36
94,Female,22,50,82
95,Female,69,59,96
96,Female,51,34,24
97,Female,23,79,23
98,Female,39,22,62
99,Female,28,124,96
100,Male,65,30,37
101,Male,33,28,12
102,Female,50,90,55
103,Female,26,129,13
104,Female,23,101,23
105,Female,33,29,89
106,Female,46,106,99
107,Female,20,112,30
108,Female,37,80,17
109,Female,53,46,62
110,Male,36,101,84
111,Female,43,77,89
112,Male,20,100,86
113,Female,36,65,13
114,Female,37,39,59
115,Male,49,72,19
116,Female,24,77,49
117,Male,69,76,100
118,Female,58,139,12
119,Female,50,36,61
120,Male,57,72,19
121,Female,56,72,76
122,Male,35,100,9
123,Female,57,63,71
124,Male,18,66,28
125,Male,28,56,78
126,Female,45,84,95
127,Female,42,29,52
128,Male,67,68,83
129,Female,40,121,16
130,Female,48,74,69
131,Female,47,115,99
132,Male,59,111,12
133,Male,52,22,25
134,Male,24,67,52
135,Male,33,74,85
136,Male,43,122,100
137,Male,65,122,53
138,Male,69,19,23
139,Male,66,117,16
140,Male,19,82,57
141,Female,18,20,39
142,Male,65,123,53
143,Female,29,110,42
144,Female,22,130,58
145,Female,54,108,39
146,Male,49,61,14
147,Male,26,113,95
148,Male,58,69,5
149,Male,52,54,35
150,Female,36,66,87
151,Male,65,30,93
152,Male,33,27,75
153,Male,20,128,18
154,Male,37,138,76
155,Male,41,120,9
156,Female,50,44,74
157,Male,41,33,58
158,Female,69,31,17
159,Male,28,134,7
160,Female,66,77,46
161,Male,25,33,13
162,Male,53,106,40
163,Female,55,72,42
164,Female,57,69,9
165,Female,37,104,50
166,Male,52,115,27
167,Female,65,104,66
168,Male,42,131,5
169,Male,52,76,29
170,Female,42,37,37
171,Female,46,23,38
172,Male,35,26,83
173,Male,63,131,8
174,Female,35,15,65
175,Female,19,72,86
176,Female,52,136,17
177,Male,33,15,71
178,Male,58,125,89
179,Male,53,48,45
180,Male,50,110,4
181,Male,21,132,36
182,Male,50,62,70
183,Female,31,103,31
184,Male,38,118,19
185,Male,65,123,61
186,Male,37,131,54
187,Female,25,15,39
188,Male,24,30,91
189,Male,20,75,74
190,Female,34,117,90
191,Male,50,78,19
192,Male,65,77,39
193,Male,29,83,67
194,Male,68,36,45
195,Male,39,107,13
196,Female,39,133,92
197,Female,63,81,58
198,Female,47,90,20
199,Male,55,40,92
200,Male,55,30,72
