Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2020-01-01,232.36,235.54,228.07,233.1,55784489,0,0.0
2020-01-02,405.21,413.57,401.13,411.04,105573844,0,0.0
2020-01-03,339.6,352.76,325.96,332.67,118862335,0,0.0
2020-01-06,299.6,310.72,295.48,305.0,80034404,0,0.0
2020-01-07,166.81,179.01,162.37,171.88,58640858,0,0.0
2020-01-08,166.8,176.85,155.29,173.25,34553590,0,0.0
2020-01-09,137.43,147.97,130.41,146.32,84427484,0,0.0
2020-01-10,379.85,392.66,368.09,368.39,119150675,0,0.0
2020-01-13,300.33,304.45,298.88,302.63,80091864,0,0.0
2020-01-14,332.42,340.02,324.85,325.64,93058309,2,0.0
2020-01-15,126.18,129.89,125.19,127.77,27063550,0,0.0
2020-01-16,410.97,425.79,409.56,414.23,89409123,0,0.0
2020-01-17,369.73,383.92,356.09,364.63,21295425,0,0.0
2020-01-20,183.7,184.77,181.18,182.45,24472917,0,0.0
2020-01-21,174.55,185.28,166.33,178.1,17429151,0,0.0
2020-01-22,175.02,188.94,168.56,175.37,115705039,0,0.0
2020-01-23,211.27,214.39,205.73,212.08,79617617,0,0.0
2020-01-24,277.43,286.17,263.88,272.9,78808437,0,0.0
2020-01-27,249.58,263.35,248.76,249.76,29700387,0,0.0
2020-01-28,207.37,208.36,197.25,205.96,110943709,0,0.0
2020-01-29,303.56,314.17,289.09,296.26,87630316,0,0.0
2020-01-30,161.85,166.66,153.23,159.04,56505238,0,0.0
2020-01-31,207.64,221.54,193.56,212.74,107776481,0,0.0
2020-02-03,229.91,244.49,228.65,233.92,40492108,0,0.0
2020-02-04,256.82,271.01,250.25,251.42,85886205,0,0.0
2020-02-05,355.55,362.93,351.28,355.64,46278965,0,0.0
2020-02-06,179.9,192.9,168.8,191.56,57211548,0,0.0
2020-02-07,274.27,287.02,259.54,277.17,19585315,0,0.0
2020-02-10,297.72,302.85,293.5,299.78,62614485,0,0.0
2020-02-11,133.94,146.46,123.95,138.18,103862643,2,0.0
2020-02-12,302.26,303.3,298.89,299.77,83879267,0,0.0
2020-02-13,171.16,180.31,162.46,169.93,63291558,0,0.0
2020-02-14,139.52,143.36,132.29,140.6,89677234,0,0.0
2020-02-17,404.67,406.92,390.08,391.79,36706642,0,0.0
2020-02-18,409.69,411.31,400.37,403.41,114235365,0,0.0
2020-02-19,362.52,373.12,356.95,361.42,108551173,0,0.0
2020-02-20,211.38,216.81,209.23,212.5,15506995,0,0.0
2020-02-21,149.3,160.31,146.61,160.04,84294318,0,0.0
2020-02-24,325.27,326.72,321.5,321.85,54816526,0,0.0
2020-02-25,252.05,257.12,247.91,252.69,73259896,0,0.0
2020-02-26,156.61,164.93,143.78,147.57,84181587,0,0.0
2020-02-27,268.55,280.52,259.91,279.92,87336392,0,0.0
2020-02-28,130.32,135.44,122.23,123.73,76555999,0,0.0
2020-03-02,392.8,402.38,390.64,395.38,65897283,0,0.0
2020-03-03,197.63,210.98,184.66,204.08,65859057,0,0.0
2020-03-04,318.76,328.19,307.78,322.16,109455633,0,0.0
2020-03-05,213.51,217.39,212.03,214.3,75321284,0,0.0
2020-03-06,276.02,276.87,265.26,269.28,15287635,0,0.0
2020-03-09,284.01,297.13,275.63,284.18,15583510,0,0.0
2020-03-10,175.46,176.27,173.77,174.43,97467453,0,0.0
2020-03-11,410.88,424.06,403.73,407.9,31760394,1,0.0
2020-03-12,352.54,360.71,345.01,352.59,86831204,0,0.0
2020-03-13,401.85,415.97,398.95,403.52,98853589,3,0.0
2020-03-16,388.45,400.53,374.24,381.8,79513977,0,0.0
2020-03-17,299.37,314.34,286.55,304.8,30845187,0,0.0
2020-03-18,396.56,402.15,386.36,401.65,103665052,0,0.0
2020-03-19,146.55,158.17,139.35,150.71,105221867,0,0.0
2020-03-20,178.79,185.12,172.32,173.31,95443169,0,0.0
2020-03-23,133.57,141.03,123.63,124.95,117356777,0,0.0
2020-03-24,217.6,227.2,209.19,226.33,45186120,0,0.0
2020-03-25,236.6,249.77,235.2,239.53,34838558,0,0.0
2020-03-26,201.4,216.17,193.47,195.56,99486278,0,0.0
2020-03-27,368.62,380.26,356.43,370.71,116061187,0,0.0
2020-03-30,227.03,233.59,219.87,228.43,51635794,0,0.0
2020-03-31,204.28,210.89,203.03,208.13,70026153,0,0.0
2020-04-01,282.81,294.0,270.91,277.08,68979613,0,0.0
2020-04-02,162.28,166.24,158.86,158.97,49595998,0,0.0
2020-04-03,360.66,362.76,356.41,362.54,28627775,0,0.0
2020-04-06,142.37,148.01,139.48,141.62,65147490,0,0.0
2020-04-07,416.07,420.73,410.78,417.51,80743288,0,0.0
2020-04-08,351.67,356.47,340.2,351.7,45418772,0,0.0
2020-04-09,179.61,183.5,171.58,178.85,110999164,0,0.0
2020-04-10,121.66,122.77,118.19,119.62,70413150,0,0.0
2020-04-13,364.64,365.4,351.41,355.2,50173714,0,0.0
2020-04-14,332.06,346.88,318.81,335.59,85542942,0,0.0
2020-04-15,338.7,345.4,325.58,342.75,92332767,0,0.0
2020-04-16,351.38,357.45,347.42,356.92,36219187,0,0.0
2020-04-17,142.21,152.56,135.17,137.01,53405257,0,0.0
2020-04-20,227.54,231.2,212.76,215.62,106209857,0,0.0
2020-04-21,154.76,169.03,143.07,167.6,91384571,0,0.0
2020-04-22,378.93,390.83,378.04,387.46,54149527,0,0.0
2020-04-23,306.99,308.79,305.54,308.41,22438096,0,0.0
2020-04-24,219.27,225.82,212.04,214.83,18053407,0,0.0
2020-04-27,139.07,152.32,125.39,141.21,44311119,0,0.0
2020-04-28,213.29,227.49,204.98,220.76,100303311,0,0.0
2020-04-29,217.55,224.83,209.83,220.03,75251437,0,0.0
2020-04-30,338.88,348.27,336.85,341.51,116071270,0,0.0
2020-05-01,311.27,314.19,301.25,301.45,115385694,0,0.0
2020-05-04,386.16,401.03,373.74,389.65,21818922,0,0.0
2020-05-05,261.66,265.52,255.64,258.14,61270592,0,0.0
2020-05-06,155.88,170.05,144.13,155.8,32929098,0,0.0
2020-05-07,333.97,343.89,319.49,342.85,39895828,0,0.0
2020-05-08,348.24,357.55,344.79,349.88,55553798,0,0.0
2020-05-11,288.38,296.31,280.29,293.74,84580185,0,0.0
2020-05-12,351.29,355.13,346.63,348.23,116363566,0,0.0
2020-05-13,268.14,271.2,256.14,266.27,40256241,0,0.0
2020-05-14,276.82,280.52,267.94,280.23,30393675,0,0.0
2020-05-15,248.26,251.46,238.56,239.87,53177374,0,0.0
2020-05-18,127.63,139.43,115.56,115.76,24449168,0,0.0
2020-05-19,152.37,157.95,146.13,151.25,79052448,0,0.0
2020-05-20,129.43,130.77,115.66,117.06,115855754,0,0.0
2020-05-21,310.92,325.47,302.69,319.74,114698011,0,0.0
